ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
36;EQUATORIAL;I;3;2;06/1999;3.387;12.904;-2.363;0;0;-8.003;0;0;0;-454;5.471;;1999;6;Resultado;;;;;
37;BANCO AXIAL;I;3;2;06/1999;72;9.601;-6.653;0;0;-5.049;0;0;0;0;-2.029;;1999;6;Resultado;;;;;
38;BOREAL;I;3;2;06/1999;17;3.674;3.268;0;0;-2.116;0;0;-425;-4.580;-162;;1999;6;Resultado;;;;;
39;PATRIMONIO;I;3;;06/1999;0;12.392;16.359;0;113;-9.276;-2.103;0;-7.108;0;10.377;;1999;6;Resultado;;;;;
40;INTERPART;I;3;;06/1999;11.596;-47;95;0;0;-1.342;-8.288;0;0;-1.554;460;;1999;6;Resultado;;;;;
41;TRICURY;I;3;;06/1999;5.478;3.708;-32;0;0;-4.228;0;0;0;-1.757;3.169;;1999;6;Resultado;;;;;
42;MARKA;I;3;3;02/1999;57;25.961;-34.550;779;0;-2.213;0;0;0;807;-9.159;;1999;6;Resultado;;;;;
43;INDUSCRED;I;3;;06/1999;2.122;5.237;0;0;0;-2.645;0;0;0;-1.164;3.550;;1999;6;Resultado;;;;;
44;OURINVEST;C;3;;06/1999;9.548;4.845;9.238;39;0;-1.777;-410;0;0;-1.237;20.246;;1999;6;Resultado;;;;;
45;NEW HOLLAND;I;4;;06/1999;361;823;0;0;6.704;-1;-211;0;0;0;7.676;;1999;6;Resultado;;;;;
46;MERCANTIL;I;3;2;06/1999;2.149;1.461;0;0;0;-1;-705;0;0;189;3.093;;1999;6;Resultado;;;;;
47;NACOES;I;3;;06/1999;6.191;2.129;-19;0;0;-4.230;-203;0;0;-324;3.544;;1999;6;Resultado;;;;;
48;HEXABANCO;I;3;;06/1999;4.046;-6.699;-1.381;0;93;-3.551;0;0;0;-2.271;-9.763;;1999;6;Resultado;;;;;
49;EMBLEMA;I;3;2;06/1999;518;4.146;44;0;0;-2.113;-43;0;0;-36;2.516;;1999;6;Resultado;;;;;
50;BCO TOYOTA;I;4;2;06/1999;0;4.844;0;0;0;0;0;0;0;0;4.844;;1999;6;Resultado;;;;;
51;MALCON;I;3;2;06/1999;3.423;1.024;0;0;0;-789;0;0;0;-495;3.163;;1999;6;Resultado;;;;;
52;FICRISA AXELRUD;I;3;;06/1999;5.451;515;0;0;0;-1.340;0;0;0;-3.125;1.501;;1999;6;Resultado;;;;;
53;MAXINVEST;I;3;;06/1999;2.244;1.134;0;0;1;-1.514;0;0;0;7;1.872;;1999;6;Resultado;;;;;
54;KEB;I;4;;06/1999;0;2.925;0;427;0;-50;0;0;0;0;3.302;;1999;6;Resultado;;;;;
55;MISASI;C;3;;06/1999;1.673;586;0;0;0;-908;0;0;0;0;1.351;;1999;6;Resultado;;;;;
56;POTTENCIAL;I;3;;06/1999;1.950;194;-16;0;0;-394;-598;0;0;-73;1.063;;1999;6;Resultado;;;;;
57;PRIME;I;3;2;06/1999;19;740;-581;0;0;-792;0;0;0;0;-614;;1999;6;Resultado;;;;;
