ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
15;CREFISUL;C;3;;12/1998;699.084;4.719;39.291;5.893;312.537;24;362.464;15.627;94.264;8.189;6.656;48.570;1998;12;Passivo;0;163.314;127.745;7.496;
16;BDMG;I;2;;12/1998;614.796;0;0;0;1.317;0;1.317;0;0;4.313;0;496.254;1998;12;Passivo;0;112.912;23.114;17.526;
17;FONTE;C;3;;12/1998;486.761;3.572;0;31.540;107.009;0;142.121;255.505;0;183;1.175;23.618;1998;12;Passivo;0;64.158;86.779;-9.677;
18;LIBERAL;C;4;;12/1998;410.411;1.143;0;0;14.616;0;15.759;188.033;0;218;356;96.494;1998;12;Passivo;0;109.551;105.861;9.020;
19;BADESC;I;2;;12/1998;262.229;0;0;1.910;0;0;1.910;0;0;0;0;253.444;1998;12;Passivo;0;6.874;55.668;-1.701;
20;PATRIMONIO;I;3;;12/1998;204.157;0;0;8.067;41.522;0;49.589;119.321;0;0;0;0;1998;12;Passivo;0;35.246;80.339;15.709;
21;BANDES;I;2;2;12/1998;194.087;14.515;0;0;10.761;0;25.276;0;0;0;0;90.168;1998;12;Passivo;0;78.642;38.431;3.133;
22;BRJ;I;3;;12/1998;194.935;0;0;0;312;0;312;0;0;0;0;188.280;1998;12;Passivo;0;6.343;15.064;-426;
23;INDUSVAL;C;3;;12/1998;173.964;4.832;0;2.677;49.187;28;56.725;21.955;3.727;441;6;4.168;1998;12;Passivo;0;86.941;26.416;1.504;
24;EUROINVEST;I;5;2;12/1998;154.474;134;0;112.295;1.271;0;113.700;0;0;1;0;16.113;1998;12;Passivo;0;24.659;39.542;-200;
25;MARKA;I;3;;12/1998;95.466;53;0;9.148;38.291;0;47.492;10.290;0;4.720;1.808;0;1998;12;Passivo;0;31.157;68.074;6.468;
26;EQUATORIAL;I;3;2;12/1998;121.627;979;0;4.505;94.208;0;99.692;12.991;0;58;0;0;1998;12;Passivo;0;8.886;30.742;2.962;
27;MERRILL LYNCH;C;4;;12/1998;72.912;0;0;0;0;0;0;350;0;0;0;0;1998;12;Passivo;0;72.562;54.632;12.383;
28;TRANSBANCO;I;3;2;12/1998;99.058;0;0;6.732;8.383;0;15.115;0;0;0;0;68.207;1998;12;Passivo;0;15.736;19.947;9.807;
29;PORTO SEGURO;I;3;3;07/1997;108.789;0;0;0;309;0;309;107.657;0;0;0;0;1998;12;Passivo;0;823;9.354;-308;
30;FENICIA;C;3;;12/1998;72.868;781;0;0;20.555;0;21.337;1.600;0;544;0;3.579;1998;12;Passivo;0;45.808;45.851;-30.254;
31;RENDIMENTO;I;3;;12/1998;62.425;1.950;0;2.089;19.996;0;24.036;0;0;321;0;14.505;1998;12;Passivo;0;23.563;47.716;2.784;
